Curzon-outbound,"Thu, 14 Mar",05:08-06:30,1.4,2.5,2,2019
Curzon-Circus-inbound,"Fri, 08 Mar",05:01-06:46,1.7,2.0,2,2019
Curzon-outbound,"Thu, 14 Mar",07:22-08:44,1.4,2.4,2,2019
Curzon-Circus-inbound,"Sun, 10 Mar",11:13-12:41,1.5,2.2,2,2019
Curzon-Circus-inbound,"Mon, 11 Mar",07:52-08:39,0.8,4.1,2,2019
Selly-Oak-Inbound,"Mon, 11 Mar",07:20-08:37,1.3,2.5,2,2019
Curzon-outbound,"Thu, 07 Mar",15:33-16:48,1.3,2.5,2,2019
Curzon-outbound,"Tue, 12 Mar",05:08-06:59,1.8,1.8,2,2019
Selly-Oak-Inbound,"Thu, 14 Mar",07:02-08:40,1.6,2.0,2,2019
Curzon-Circus-inbound,"Mon, 11 Mar",17:23-18:28,1.1,2.9,2,2019
Ashted-Circus-outbound,"Sat, 09 Mar",12:33-14:01,1.5,2.1,2,2019
Curzon-outbound,"Wed, 13 Mar",05:07-06:31,1.4,2.2,2,2019
Curzon-outbound,"Fri, 08 Mar",05:07-06:30,1.4,2.2,2,2019
Bordesley-outbound,"Sun, 10 Mar",13:57-15:12,1.2,2.5,2,2019
Pershore-outbound,"Tue, 12 Mar",07:03-08:17,1.2,2.5,2,2019
Belgrave-Interchange-inbound,"Sat, 09 Mar",14:43-15:58,1.3,2.3,2,2019
Curzon-Circus-inbound,"Wed, 13 Mar",07:02-08:07,1.1,2.7,2,2019
Curzon-Circus-inbound,"Thu, 14 Mar",07:07-08:28,1.3,2.2,2,2019
Ashted-Circus-outbound,"Mon, 11 Mar",12:44-13:47,1.1,2.6,2,2019
Bordesley-Circus-inbound,"Wed, 13 Mar",07:21-08:43,1.4,2.0,2,2019
Curzon-Circus-inbound,"Tue, 12 Mar",05:37-06:52,1.3,2.1,2,2019
Five-Ways-outbound,"Sat, 09 Mar",14:37-16:05,1.5,1.8,2,2019
Garrison-Circus-inbound,"Sun, 10 Mar",10:31-12:01,1.5,1.8,2,2019
Selly-Oak-Inbound,"Wed, 13 Mar",18:03-19:32,1.5,1.8,2,2019
Selly-Oak-Inbound,"Wed, 13 Mar",14:52-16:00,1.1,2.4,2,2019
Curzon-outbound,"Wed, 13 Mar",08:07-08:40,0.6,4.4,2,2019
Bristol-Road-inbound,"Sat, 09 Mar",09:50-10:36,0.8,3.3,2,2019
Curzon-Circus-inbound,"Wed, 13 Mar",18:40-19:42,1.0,2.6,2,2019
Garrison-outbound,"Wed, 13 Mar",05:01-06:21,1.3,2.0,2,2019
Belgrave-Interchange-inbound,"Thu, 07 Mar",14:27-15:20,0.9,2.8,2,2019
Pershore-outbound,"Tue, 12 Mar",09:30-10:41,1.2,2.1,2,2019
Curzon-outbound,"Wed, 13 Mar",17:07-17:38,0.5,5.0,2,2019
Curzon-outbound,"Mon, 11 Mar",15:59-16:31,0.5,5.0,2,2019
Dartmouth-outbound,"Sun, 10 Mar",11:26-12:42,1.3,1.9,2,2019
Bordesley-outbound,"Mon, 11 Mar",05:13-06:34,1.3,1.9,2,2019
Curzon-Circus-inbound,"Wed, 13 Mar",08:27-09:19,0.9,2.7,2,2019
Ashted-Circus-outbound,"Fri, 08 Mar",19:17-20:46,1.5,1.6,2,2019
Five-Ways-outbound,"Sat, 09 Mar",13:05-14:15,1.2,2.0,2,2019
Selly-Oak-Inbound,"Tue, 12 Mar",06:21-07:31,1.2,2.0,2,2019
Selly-Oak-Inbound,"Fri, 08 Mar",07:20-08:30,1.2,2.0,2,2019
Curzon-outbound,"Wed, 13 Mar",06:40-07:39,1.0,2.4,2,2019
Selly-Oak-Inbound,"Thu, 07 Mar",19:29-20:52,1.4,1.7,2,2019
Bordesley-outbound,"Thu, 14 Mar",05:14-06:34,1.3,1.8,2,2019
Curzon-Circus-inbound,"Fri, 08 Mar",07:17-08:23,1.1,2.1,2,2019
Curzon-outbound,"Sun, 10 Mar",10:46-11:56,1.2,1.9,2,2019
Pershore-outbound,"Mon, 11 Mar",05:23-06:59,1.6,1.4,2,2019
Dartmouth-outbound,"Sun, 10 Mar",12:52-14:13,1.3,1.7,2,2019
Garrison-outbound,"Sat, 09 Mar",05:06-06:22,1.3,1.7,2,2019
Curzon-Circus-inbound,"Sat, 09 Mar",07:10-08:11,1.0,2.2,2,2019
Selly-Oak-Inbound,"Thu, 07 Mar",16:41-17:48,1.1,2.0,2,2019
Curzon-Circus-inbound,"Thu, 07 Mar",14:42-15:33,0.8,2.7,2,2019
Ashted-Circus-inbound,"Tue, 12 Mar",14:46-15:28,0.7,3.0,2,2019
Garrison-Circus-inbound,"Wed, 13 Mar",18:23-19:26,1.1,1.9,2,2019
Selly-Oak-Inbound,"Mon, 11 Mar",15:10-16:17,1.1,1.9,2,2019
