-1.9195931,52.4921118
-1.923713,52.4875127
-1.9278329,52.4833313
-1.9319527,52.4795677
-1.9305794,52.4753855
-1.9243996,52.4716212
-1.9175332,52.4682749
-1.9099801,52.4661833
-1.9017403,52.4640916
-1.8921273,52.4624182
-1.8859475,52.4615815
-1.8804543,52.4632549
-1.8749612,52.46702
-1.8708413,52.4712029
-1.8715279,52.476222
-1.8735879,52.4816586
-1.8777077,52.4883489
-1.8838875,52.4921118
-1.8900674,52.4942022
-1.8976205,52.4950383
-1.9065468,52.4958744
-1.9140999,52.4958744
-1.9195931,52.4921118
